#: table_doi: 10.17182/hepdata.91215.v2/t105
#: name: Auxiliary Figures 16 to 20
#: description: The measured normalized cross sections (left) in bins of Z pt in |y(Z)| bins, using born level leptons. The first bin (0-1 GeV) is not shown as large differences were observed in aMC@NLO and POWHEG predictions at Born level. The cross sections are divided by the bin width and then the distributions are normalized to 1.
#: data_file: auxiliary_figures_16_to_20.yaml
#: keyword observables: N
$p_{T}$ [GeV],Normalized dilepton cross section in 0 < |y(Z)| < 0.4, +, -
275.0,1.773e-05,4.9473e-07,-4.9473e-07
350.0,6.2854e-06,2.0407e-07,-2.0407e-07
950.0,2.4946e-07,1.0027e-08,-1.0027e-08

$p_{T}$ [GeV],Normalized dilepton cross section in 0.8 < |y(Z)| < 1.2, +, -
1.5,0.050327,0.0012407,-0.0012407
2.5,0.067627,0.0015819,-0.0015819
3.5,0.076298,0.001653,-0.001653
4.5,0.07739,0.0015504,-0.0015504
5.5,0.074382,0.0014331,-0.0014331
6.5,0.070226,0.0013441,-0.0013441
7.5,0.064933,0.0012206,-0.0012206
8.5,0.060642,0.0011014,-0.0011014
9.5,0.055493,0.00097115,-0.00097115
10.5,0.050857,0.00085709,-0.00085709
11.5,0.046758,0.00076033,-0.00076033
12.5,0.044107,0.00068751,-0.00068751
13.5,0.039087,0.00058745,-0.00058745
15.0,0.035297,0.00052073,-0.00052073
17.0,0.030428,0.00043992,-0.00043992
19.0,0.026305,0.00036748,-0.00036748
21.0,0.022761,0.00030663,-0.00030663
23.5,0.019335,0.00025112,-0.00025112
26.5,0.015819,0.00019345,-0.00019345
30.0,0.01305,0.00014695,-0.00014695
34.5,0.010042,0.0001057,-0.0001057
40.0,0.0075026,7.6945e-05,-7.6945e-05
47.5,0.0051898,5.4625e-05,-5.4625e-05
58.5,0.003105,3.4236e-05,-3.4236e-05
75.0,0.0016419,1.9045e-05,-1.9045e-05
102.5,0.00070219,9.2421e-06,-9.2421e-06
140.0,0.00025891,4.1716e-06,-4.1716e-06
175.0,0.00010973,2.1152e-06,-2.1152e-06
205.0,5.917e-05,1.3378e-06,-1.3378e-06
235.0,3.3756e-05,8.7645e-07,-8.7645e-07
275.0,1.7296e-05,4.9354e-07,-4.9354e-07
350.0,5.6617e-06,1.8424e-07,-1.8424e-07
950.0,2.3526e-07,9.2692e-09,-9.2692e-09

$p_{T}$ [GeV],Normalized dilepton cross section in 1.2 < |y(Z)| < 1.6, +, -
1.5,0.049728,0.0014961,-0.0014961
2.5,0.065013,0.0018308,-0.0018308
3.5,0.073988,0.002006,-0.002006
4.5,0.076487,0.0019627,-0.0019627
5.5,0.074563,0.0018104,-0.0018104
6.5,0.070182,0.0016397,-0.0016397
7.5,0.065051,0.0014762,-0.0014762
8.5,0.060363,0.0013526,-0.0013526
9.5,0.055968,0.0012312,-0.0012312
10.5,0.051503,0.0010837,-0.0010837
11.5,0.047297,0.00095385,-0.00095385
12.5,0.043749,0.0008608,-0.0008608
13.5,0.040487,0.00078331,-0.00078331
15.0,0.036266,0.00068533,-0.00068533
17.0,0.030297,0.00054944,-0.00054944
19.0,0.027244,0.00046601,-0.00046601
21.0,0.023021,0.00037307,-0.00037307
23.5,0.019785,0.00031526,-0.00031526
26.5,0.015833,0.0002471,-0.0002471
30.0,0.013048,0.00019292,-0.00019292
34.5,0.010265,0.00013564,-0.00013564
40.0,0.0075183,8.3684e-05,-8.3684e-05
47.5,0.0052601,5.4304e-05,-5.4304e-05
58.5,0.0030626,3.2462e-05,-3.2462e-05
75.0,0.0015933,1.7766e-05,-1.7766e-05
102.5,0.00069963,8.7514e-06,-8.7514e-06
140.0,0.00026113,4.0597e-06,-4.0597e-06
175.0,0.00011099,2.2168e-06,-2.2168e-06
205.0,6.241e-05,1.5533e-06,-1.5533e-06
235.0,3.4162e-05,1.0257e-06,-1.0257e-06
275.0,1.7026e-05,5.8419e-07,-5.8419e-07
350.0,5.85e-06,2.2262e-07,-2.2262e-07
950.0,2.0433e-07,8.7527e-09,-8.7527e-09

$p_{T}$ [GeV],Normalized dilepton cross section in 1.6 < |y(Z)| < 2.4, +, -
1.5,0.048608,0.0019228,-0.0019228
2.5,0.063111,0.0023862,-0.0023862
3.5,0.072261,0.0025806,-0.0025806
4.5,0.074514,0.0024773,-0.0024773
5.5,0.071993,0.0022255,-0.0022255
6.5,0.067495,0.0019609,-0.0019609
7.5,0.063051,0.0017633,-0.0017633
8.5,0.05926,0.0016284,-0.0016284
9.5,0.055573,0.0014996,-0.0014996
10.5,0.051613,0.0013413,-0.0013413
11.5,0.047344,0.0011525,-0.0011525
12.5,0.043248,0.0009903,-0.0009903
13.5,0.040068,0.00089894,-0.00089894
15.0,0.037439,0.00081681,-0.00081681
17.0,0.031867,0.00066085,-0.00066085
19.0,0.027608,0.00055535,-0.00055535
21.0,0.025413,0.00049193,-0.00049193
23.5,0.021422,0.00038811,-0.00038811
26.5,0.017869,0.00030779,-0.00030779
30.0,0.014646,0.00022657,-0.00022657
34.5,0.011655,0.00014768,-0.00014768
40.0,0.0088441,0.00010143,-0.00010143
47.5,0.0062295,7.6006e-05,-7.6006e-05
58.5,0.0035776,4.8603e-05,-4.8603e-05
75.0,0.0017622,2.58e-05,-2.58e-05
102.5,0.00075261,1.2113e-05,-1.2113e-05
140.0,0.00029799,5.654e-06,-5.654e-06
175.0,0.00013463,3.0898e-06,-3.0898e-06
205.0,7.4951e-05,2.102e-06,-2.102e-06
235.0,4.2242e-05,1.4069e-06,-1.4069e-06
275.0,2.1264e-05,8.1114e-07,-8.1114e-07
350.0,6.8023e-06,3.1998e-07,-3.1998e-07
950.0,1.7133e-07,1.0591e-08,-1.0591e-08

