#: table_doi: 10.17182/hepdata.91215.v2/t101
#: name: Auxiliary Figures 10 to 14
#: description: The measured absolute cross sections in bins of Z pt different |y(Z)| bins, using born level leptons. The cross sections are normalized by the bin width. The first bin (0-1 GeV) is not shown as large differences were observed in aMC@NLO and POWHEG predictions at Born level.
#: data_file: auxiliary_figures_10_to_14.yaml
#: keyword observables: N
$p_{T}$ [GeV],Dilepton cross section (pb) in 0 < |y(Z)| < 0.4 bin, +, -
205.0,0.0059473,0.0002337,-0.0002337
235.0,0.0032554,0.00013952,-0.00013952
275.0,0.0016225,7.5013e-05,-7.5013e-05
350.0,0.00055747,2.7513e-05,-2.7513e-05
950.0,1.9471e-05,1.0376e-06,-1.0376e-06

$p_{T}$ [GeV],Dilepton cross section (pb) in 1.6 < |y(Z)| < 2.4 bin, +, -
1.5,3.9945,0.19236,-0.19236
2.5,5.1864,0.23482,-0.23482
3.5,5.9383,0.25817,-0.25817
4.5,6.1235,0.25606,-0.25606
5.5,5.9163,0.23994,-0.23994
6.5,5.5466,0.21823,-0.21823
7.5,5.1815,0.19624,-0.19624
8.5,4.8699,0.17823,-0.17823
9.5,4.5669,0.1629,-0.1629
10.5,4.2415,0.14928,-0.14928
11.5,3.8907,0.13711,-0.13711
12.5,3.5541,0.12652,-0.12652
13.5,3.2928,0.1165,-0.1165
15.0,3.0766,0.10566,-0.10566
17.0,2.6188,0.087759,-0.087759
19.0,2.2688,0.074772,-0.074772
21.0,2.0884,0.067683,-0.067683
23.5,1.7604,0.056046,-0.056046
26.5,1.4684,0.046051,-0.046051
30.0,1.2036,0.037243,-0.037243
34.5,0.95777,0.029072,-0.029072
40.0,0.72679,0.021942,-0.021942
47.5,0.51193,0.015892,-0.015892
58.5,0.294,0.0095864,-0.0095864
75.0,0.14481,0.004928,-0.004928
102.5,0.061848,0.0022038,-0.0022038
140.0,0.024489,0.00093861,-0.00093861
175.0,0.011064,0.00045884,-0.00045884
205.0,0.0061593,0.00027678,-0.00027678
235.0,0.0034714,0.00016852,-0.00016852
275.0,0.0017474,9.0952e-05,-9.0952e-05
350.0,0.000559,3.2606e-05,-3.2606e-05
950.0,1.408e-05,9.6719e-07,-9.6719e-07

